307.750, 129.515, 4.695,  4.379 False
307.593, 129.519, 4.727,  4.412 False
307.435, 129.523, 4.760,  4.445 False
307.275, 129.528, 4.792,  4.478 False
307.115, 129.532, 4.825,  4.511 False
306.953, 129.537, 4.856,  4.544 False
306.791, 129.543, 4.889,  4.577 False
306.627, 129.549, 4.920,  4.610 False
306.462, 129.554, 4.953,  4.643 False
306.296, 129.559, 4.984,  4.676 False
306.129, 129.564, 5.018,  4.709 False
305.961, 129.569, 5.048,  4.742 False
305.792, 129.574, 5.082,  4.775 False
305.622, 129.580, 5.111,  4.808 False
305.451, 129.586, 5.146,  4.841 False
305.279, 129.593, 5.176,  4.874 False
305.106, 129.599, 5.207,  4.907 False
304.932, 129.605, 5.225,  4.940 False
304.758, 129.613, 5.232,  4.973 False
304.584, 129.619, 5.230,  5.006 False
304.410, 129.627, 5.234,  5.039 False
304.236, 129.634, 5.246,  5.072 False
304.061, 129.642, 5.268,  5.105 False
303.884, 129.649, 5.298,  5.138 False
303.707, 129.656, 5.336,  5.171 False
303.528, 129.664, 5.377,  5.204 False
303.348, 129.671, 5.422,  5.237 False
303.166, 129.679, 5.467,  5.270 False
302.982, 129.687, 5.513,  5.303 False
302.798, 129.695, 5.556,  5.336 False
302.611, 129.703, 5.599,  5.369 False
302.424, 129.711, 5.638,  5.402 False
302.235, 129.720, 5.677,  5.435 False
302.045, 129.729, 5.713,  5.468 False
301.854, 129.738, 5.750,  5.501 False
301.662, 129.746, 5.785,  5.534 False
301.468, 129.756, 5.820,  5.567 False
301.274, 129.766, 5.854,  5.600 False
301.078, 129.775, 5.890,  5.633 False
300.881, 129.785, 5.923,  5.666 False
300.683, 129.795, 5.958,  5.699 False
300.484, 129.804, 5.991,  5.732 False
300.284, 129.814, 6.025,  5.765 False
300.083, 129.824, 6.058,  5.798 False
299.880, 129.834, 6.092,  5.831 False
299.677, 129.845, 6.124,  5.864 False
299.472, 129.855, 6.158,  5.897 False
299.266, 129.865, 6.189,  5.930 False
299.059, 129.875, 6.223,  5.963 False
298.851, 129.886, 6.254,  5.996 False
298.642, 129.896, 6.288,  6.029 False
298.432, 129.908, 6.319,  6.062 False
298.221, 129.919, 6.353,  6.095 False
298.009, 129.930, 6.383,  6.128 False
297.796, 129.942, 6.417,  6.161 False
297.582, 129.953, 6.447,  6.194 False
297.366, 129.965, 6.480,  6.227 False
297.150, 129.976, 6.510,  6.260 False
296.932, 129.988, 6.543,  6.293 False
296.714, 130.000, 6.573,  6.326 False
296.494, 130.012, 6.606,  6.359 False
296.274, 130.023, 6.636,  6.392 False
296.052, 130.035, 6.668,  6.425 False
295.830, 130.047, 6.697,  6.458 False
295.606, 130.059, 6.729,  6.491 False
295.381, 130.073, 6.757,  6.524 False
295.156, 130.086, 6.789,  6.557 False
294.929, 130.099, 6.818,  6.590 False
294.702, 130.112, 6.849,  6.623 False
294.473, 130.125, 6.877,  6.656 False
294.243, 130.139, 6.909,  6.689 False
294.013, 130.152, 6.936,  6.722 False
293.781, 130.165, 6.968,  6.755 False
293.549, 130.179, 6.995,  6.788 False
293.315, 130.193, 7.027,  6.821 False
293.081, 130.207, 7.055,  6.854 False
292.845, 130.222, 7.086,  6.887 False
292.609, 130.236, 7.114,  6.920 False
292.372, 130.252, 7.145,  6.953 False
292.133, 130.267, 7.174,  6.986 False
291.894, 130.281, 7.206,  7.019 False
291.653, 130.296, 7.234,  7.052 False
291.412, 130.311, 7.266,  7.085 False
291.170, 130.326, 7.294,  7.118 False
290.926, 130.341, 7.325,  7.151 False
290.682, 130.355, 7.353,  7.184 False
290.436, 130.370, 7.384,  7.217 False
290.190, 130.385, 7.412,  7.250 False
289.943, 130.400, 7.443,  7.283 False
289.694, 130.415, 7.471,  7.316 False
289.445, 130.430, 7.502,  7.349 False
289.195, 130.445, 7.530,  7.382 False
288.943, 130.459, 7.561,  7.415 False
288.691, 130.474, 7.589,  7.448 False
288.438, 130.489, 7.620,  7.481 False
288.183, 130.504, 7.648,  7.514 False
287.928, 130.519, 7.679,  7.547 False
287.672, 130.534, 7.707,  7.580 False
287.415, 130.549, 7.738,  7.613 False
287.156, 130.564, 7.765,  7.646 False
286.897, 130.578, 7.796,  7.679 False
286.637, 130.593, 7.824,  7.712 False
286.376, 130.608, 7.855,  7.745 False
286.114, 130.622, 7.882,  7.778 False
285.851, 130.636, 7.914,  7.811 False
285.586, 130.650, 7.941,  7.844 False
285.321, 130.664, 7.973,  7.877 False
285.055, 130.678, 8.001,  7.910 False
284.788, 130.693, 8.032,  7.943 False
284.520, 130.706, 8.060,  7.976 False
284.251, 130.719, 8.091,  8.009 False
283.981, 130.732, 8.119,  8.042 False
283.710, 130.744, 8.150,  8.075 False
283.438, 130.757, 8.178,  8.108 False
283.164, 130.768, 8.208,  8.141 False
282.890, 130.780, 8.236,  8.174 False
282.616, 130.790, 8.260,  8.207 False
282.340, 130.800, 8.280,  8.240 False
282.064, 130.810, 8.299,  8.273 False
281.787, 130.819, 8.315,  8.306 False
281.510, 130.828, 8.328,  8.339 False
281.232, 130.837, 8.340,  8.372 False
280.954, 130.845, 8.350,  8.405 False
280.676, 130.854, 8.358,  8.438 False
280.397, 130.861, 8.365,  8.471 False
280.118, 130.868, 8.371,  8.504 False
279.839, 130.875, 8.377,  8.537 False
279.560, 130.881, 8.382,  8.570 False
279.281, 130.887, 8.385,  8.603 False
279.002, 130.892, 8.389,  8.636 False
278.722, 130.896, 8.392,  8.669 False
278.442, 130.901, 8.394,  8.702 False
278.163, 130.904, 8.396,  8.735 False
277.883, 130.908, 8.398,  8.768 False
277.603, 130.911, 8.400,  8.801 False
277.323, 130.914, 8.401,  8.834 False
277.043, 130.916, 8.401,  8.867 False
276.763, 130.919, 8.402,  8.900 False
276.483, 130.921, 8.403,  8.933 False
276.203, 130.923, 8.403,  8.966 False
275.923, 130.923, 8.403,  8.999 False
275.643, 130.924, 8.403,  9.032 False
275.363, 130.925, 8.403,  9.065 False
275.083, 130.926, 8.403,  9.098 False
274.803, 130.926, 8.402,  9.131 False
274.523, 130.926, 8.402,  9.164 False
274.243, 130.925, 8.401,  9.197 False
273.963, 130.925, 8.400,  9.230 False
273.683, 130.924, 8.400,  9.263 False
273.403, 130.923, 8.399,  9.296 False
273.123, 130.921, 8.398,  9.329 False
272.843, 130.920, 8.397,  9.362 False
272.563, 130.918, 8.396,  9.395 False
272.283, 130.916, 8.396,  9.428 False
272.004, 130.913, 8.395,  9.461 False
271.724, 130.910, 8.394,  9.494 False
271.444, 130.907, 8.393,  9.527 False
271.164, 130.904, 8.392,  9.560 False
270.885, 130.901, 8.391,  9.593 False
270.605, 130.897, 8.390,  9.626 False
270.326, 130.894, 8.389,  9.659 False
270.046, 130.889, 8.387,  9.692 False
269.767, 130.884, 8.386,  9.725 False
269.487, 130.879, 8.385,  9.758 False
269.208, 130.872, 8.384,  9.791 False
268.928, 130.867, 8.383,  9.824 False
268.649, 130.861, 8.382,  9.857 False
268.370, 130.855, 8.381,  9.890 False
268.090, 130.849, 8.380,  9.923 False
267.811, 130.843, 8.379,  9.956 False
267.532, 130.836, 8.378,  9.989 False
267.253, 130.830, 8.378, 10.022 False
266.974, 130.823, 8.377, 10.055 False
266.694, 130.816, 8.376, 10.088 False
266.415, 130.808, 8.375, 10.121 False
266.136, 130.800, 8.373, 10.154 False
265.857, 130.792, 8.373, 10.187 False
265.579, 130.784, 8.372, 10.220 False
265.300, 130.776, 8.371, 10.253 False
265.021, 130.768, 8.370, 10.286 False
264.742, 130.759, 8.369, 10.319 False
264.463, 130.751, 8.369, 10.352 False
264.184, 130.742, 8.368, 10.385 False
263.905, 130.733, 8.367, 10.418 False
263.627, 130.724, 8.366, 10.451 False
263.348, 130.715, 8.365, 10.484 False
